Date/Time,0cm EAG Soil Moisture [%] ,-10cm EAG Soil Moisture [%],-20cm EAG Soil Moisture [%],-30cm EAG Soil Moisture [%],-40cm EAG Soil Moisture [%],-50cm EAG Soil Moisture [%]
2019-05-25 15:00:00,3.08,42.02,45.57,46.53,49.98,50.42
2019-05-25 16:00:00,2.98,42.12,45.62,46.52,49.97,50.42
2019-05-25 17:00:00,2.85,42.14,45.69,46.51,49.95,50.41
2019-05-25 18:00:00,2.74,42.08,45.78,46.54,49.94,50.42
2019-05-25 19:00:00,2.67,41.96,45.85,46.57,49.94,50.42
2019-05-25 20:00:00,2.61,41.77,45.88,46.58,49.94,50.41
2019-05-25 21:00:00,2.58,41.57,45.86,46.61,49.96,50.42
2019-05-25 22:00:00,2.56,41.36,45.84,46.6,49.97,50.41
2019-05-25 23:00:00,2.56,41.18,45.8,46.59,49.96,50.41
2019-05-26 00:00:00,2.56,41.03,45.75,46.6,49.97,50.41
2019-05-26 01:00:00,2.56,40.9,45.71,46.6,49.98,50.42
2019-05-26 02:00:00,2.71,40.8,45.67,46.58,50,50.43
2019-05-26 03:00:00,3.67,40.72,45.63,46.56,50,50.44
2019-05-26 04:00:00,4.59,40.67,45.59,46.57,50.01,50.44
2019-05-26 05:00:00,5.04,40.67,45.55,46.56,50.01,50.45
2019-05-26 06:00:00,5.29,40.77,45.53,46.55,50.01,50.45
2019-05-26 07:00:00,5.41,41.48,45.5,46.55,50.03,50.45
2019-05-26 08:00:00,5.29,42.27,45.49,46.58,50.06,50.45
2019-05-26 09:00:00,5.08,42.47,45.48,46.58,50.07,50.46
2019-05-26 10:00:00,4.85,42.47,45.48,46.56,50.07,50.45
2019-05-26 11:00:00,4.97,42.49,45.5,46.55,50.06,50.46
2019-05-26 12:00:00,4.91,42.54,45.5,46.56,50.06,50.46
2019-05-26 13:00:00,5.71,44.06,46.29,47.14,50.08,50.47
2019-05-26 14:00:00,5.71,46.05,48.38,49.8,50.14,50.5
2019-05-26 15:00:00,5.5,46.03,48.34,49.81,50.14,50.5
2019-05-26 16:00:00,5.33,44.89,48.31,49.81,50.14,50.52
2019-05-26 17:00:00,5.02,44.52,48.33,49.81,50.14,50.51
2019-05-26 18:00:00,4.91,44.25,48.33,49.82,50.14,50.51
2019-05-26 19:00:00,4.87,44.14,48.35,49.83,50.14,50.5
2019-05-26 20:00:00,4.87,44.07,48.36,49.84,50.14,50.5
2019-05-26 21:00:00,4.98,43.99,48.37,49.85,50.14,50.5
2019-05-26 22:00:00,5.8,44.44,48.39,49.87,50.14,50.5
2019-05-26 23:00:00,6.03,46.86,48.48,49.89,50.16,50.53
2019-05-27 00:00:00,6.29,47.17,48.45,49.9,50.17,50.53
2019-05-27 01:00:00,6,47.18,48.42,49.87,50.17,50.53
2019-05-27 02:00:00,5.31,46.75,48.37,49.84,50.13,50.53
2019-05-27 03:00:00,5.13,46.46,48.32,49.81,50.1,50.52
2019-05-27 04:00:00,5.08,46.31,48.29,49.77,50.09,50.52
2019-05-27 05:00:00,5.02,46.19,48.26,49.75,50.06,50.52
2019-05-27 06:00:00,5.01,46.1,48.25,49.74,50.02,50.51
2019-05-27 07:00:00,5.06,45.95,48.25,49.71,50,50.5
2019-05-27 08:00:00,5.03,45.85,48.23,49.69,50,50.49
2019-05-27 09:00:00,5.01,45.71,48.22,49.67,49.97,50.49
2019-05-27 10:00:00,4.96,45.63,48.22,49.65,49.94,50.49
2019-05-27 11:00:00,4.8,45.62,48.23,49.64,49.94,50.49
2019-05-27 12:00:00,4.74,45.62,48.25,49.64,49.93,50.48
2019-05-27 13:00:00,4.66,44.94,48.29,49.65,49.94,50.48
2019-05-27 14:00:00,4.64,44.61,48.35,49.66,49.92,50.47
2019-05-27 15:00:00,4.59,44.5,48.43,49.68,49.91,50.46
2019-05-27 16:00:00,6.42,47.41,48.54,49.74,49.92,50.47
2019-05-27 17:00:00,8.34,49.07,48.66,49.81,49.92,50.47
2019-05-27 18:00:00,7.57,49.76,48.78,49.92,49.94,50.48
2019-05-27 19:00:00,7.32,49.49,48.81,49.98,49.96,50.48
2019-05-27 20:00:00,6.26,48.22,48.76,49.99,49.96,50.5
2019-05-27 21:00:00,5.7,47.63,48.71,49.95,49.94,50.5
2019-05-27 22:00:00,4.76,47.04,48.66,49.92,49.92,50.49
2019-05-27 23:00:00,4.72,46.75,48.63,49.87,49.92,50.5
2019-05-28 00:00:00,4.73,46.57,48.59,49.84,49.91,50.49
2019-05-28 01:00:00,5.1,47.23,48.57,49.81,49.88,50.5
2019-05-28 02:00:00,4.7,46.88,48.53,49.78,49.86,50.5
2019-05-28 03:00:00,4.69,46.57,48.51,49.73,49.86,50.5
2019-05-28 04:00:00,4.7,46.43,48.49,49.69,49.82,50.5
2019-05-28 05:00:00,4.73,46.31,48.48,49.68,49.81,50.5
2019-05-28 06:00:00,4.78,46.21,48.47,49.64,49.8,50.5
2019-05-28 07:00:00,4.84,46.1,48.46,49.64,49.78,50.49
2019-05-28 08:00:00,4.92,46.04,48.47,49.61,49.76,50.49
2019-05-28 09:00:00,4.83,46.06,48.46,49.59,49.74,50.48
2019-05-28 10:00:00,4.63,46.1,48.47,49.57,49.74,50.47
2019-05-28 11:00:00,4.57,46.12,48.49,49.56,49.74,50.46
2019-05-28 12:00:00,4.56,46.15,48.51,49.56,49.74,50.45
2019-05-28 13:00:00,4.52,45.74,48.53,49.58,49.74,50.45
2019-05-28 14:00:00,4.5,45.64,48.57,49.6,49.74,50.44
2019-05-28 15:00:00,4.46,45.61,48.6,49.61,49.74,50.44
2019-05-28 16:00:00,4.43,45.6,48.63,49.62,49.74,50.44
2019-05-28 17:00:00,4.42,45.61,48.66,49.64,49.72,50.44
2019-05-28 18:00:00,4.4,45.6,48.68,49.65,49.73,50.44
2019-05-28 19:00:00,6.95,48.22,48.74,49.69,49.75,50.45
2019-05-28 20:00:00,6.35,47.9,48.73,49.72,49.73,50.46
2019-05-28 21:00:00,5.46,47.41,48.72,49.74,49.74,50.47
2019-05-28 22:00:00,5.15,47.04,48.73,49.74,49.75,50.48
2019-05-28 23:00:00,5.07,46.77,48.69,49.75,49.72,50.48
2019-05-29 00:00:00,5.05,46.6,48.66,49.73,49.72,50.49
2019-05-29 01:00:00,5.05,46.48,48.63,49.71,49.71,50.48
2019-05-29 02:00:00,5.18,46.43,48.6,49.7,49.7,50.47
2019-05-29 03:00:00,5.14,46.32,48.57,49.67,49.7,50.48
2019-05-29 04:00:00,5.13,46.2,48.55,49.65,49.71,50.47
2019-05-29 05:00:00,5.11,46.14,48.52,49.62,49.7,50.48
2019-05-29 06:00:00,5.12,46.07,48.51,49.61,49.69,50.48
2019-05-29 07:00:00,5.11,46.02,48.49,49.59,49.67,50.48
2019-05-29 08:00:00,5.12,46.03,48.48,49.58,49.67,50.48
2019-05-29 09:00:00,4.9,46.05,48.47,49.57,49.67,50.48
2019-05-29 10:00:00,4.64,46.14,48.46,49.53,49.67,50.48
2019-05-29 11:00:00,4.58,46.18,48.46,49.53,49.66,50.48
