soilType,plotCluster ,wine,flavorType,sensoryFlavor,judgeNumber,ratioFlavorJudge
siltyClay,COURSAN,2017_ALF_ALT_1,visual,veryLightYellowWithGreenSparkles,6,0.17
siltyClay,COURSAN,2017_ALF_ALT_2,visual,veryLightYellowWithGreenSparkles,6,1.00
siltyClay,COURSAN,2017_ALF_ALT_3,visual,veryLightYellowWithGreenSparkles,6,0.17
siltyClay,COURSAN,2017_ALF_ALT_4,visual,veryLightYellowWithGreenSparkles,6,NaN
siltyClay,COURSAN,2017_ALF_ALT_1,visual,strawYellowGoldYellow,6,0.67
siltyClay,COURSAN,2017_ALF_ALT_2,visual,strawYellowGoldYellow,6,NaN
siltyClay,COURSAN,2017_ALF_ALT_3,visual,strawYellowGoldYellow,6,0.17
siltyClay,COURSAN,2017_ALF_ALT_4,visual,strawYellowGoldYellow,6,0.50
siltyClay,COURSAN,2017_ALF_ALT_1,visual,turbid,5,NaN
siltyClay,COURSAN,2017_ALF_ALT_2,visual,turbid,5,NaN
siltyClay,COURSAN,2017_ALF_ALT_3,visual,turbid,5,1.00
siltyClay,COURSAN,2017_ALF_ALT_4,visual,turbid,5,NaN
siltyClay,COURSAN,2017_ALF_ALT_1,olfactory,candy,6,1.00
siltyClay,COURSAN,2017_ALF_ALT_2,olfactory,candy,6,0.17
siltyClay,COURSAN,2017_ALF_ALT_3,olfactory,candy,6,NaN
siltyClay,COURSAN,2017_ALF_ALT_4,olfactory,candy,6,0.33
siltyClay,COURSAN,2017_ALF_ALT_1,olfactory,fruity,5,0.40
siltyClay,COURSAN,2017_ALF_ALT_2,olfactory,fruity,5,0.40
siltyClay,COURSAN,2017_ALF_ALT_3,olfactory,fruity,5,0.60
siltyClay,COURSAN,2017_ALF_ALT_4,olfactory,fruity,5,0.20
siltyClay,COURSAN,2017_ALF_ALT_1,olfactory,fermentationAroma,3,0.33
siltyClay,COURSAN,2017_ALF_ALT_2,olfactory,fermentationAroma,3,0.67
siltyClay,COURSAN,2017_ALF_ALT_3,olfactory,fermentationAroma,3,NaN
siltyClay,COURSAN,2017_ALF_ALT_4,olfactory,fermentationAroma,3,0.33
siltyClay,COURSAN,2017_ALF_ALT_1,olfactory,flowery,2,NaN
siltyClay,COURSAN,2017_ALF_ALT_2,olfactory,flowery,2,1.00
siltyClay,COURSAN,2017_ALF_ALT_3,olfactory,flowery,2,0.50
siltyClay,COURSAN,2017_ALF_ALT_4,olfactory,flowery,2,NaN
siltyClay,COURSAN,2017_ALF_ALT_1,olfactory,mineral,2,0.50
siltyClay,COURSAN,2017_ALF_ALT_2,olfactory,mineral,2,NaN
siltyClay,COURSAN,2017_ALF_ALT_3,olfactory,mineral,2,0.50
siltyClay,COURSAN,2017_ALF_ALT_4,olfactory,mineral,2,NaN
siltyClay,COURSAN,2017_ALF_ALT_1,olfactory,milky,1,NaN
siltyClay,COURSAN,2017_ALF_ALT_2,olfactory,milky,1,NaN
siltyClay,COURSAN,2017_ALF_ALT_3,olfactory,milky,1,1.00
siltyClay,COURSAN,2017_ALF_ALT_4,olfactory,milky,1,NaN
siltyClay,COURSAN,2017_ALF_ALT_1,olfactory,pear,1,1.00
siltyClay,COURSAN,2017_ALF_ALT_2,olfactory,pear,1,NaN
siltyClay,COURSAN,2017_ALF_ALT_3,olfactory,pear,1,NaN
siltyClay,COURSAN,2017_ALF_ALT_4,olfactory,pear,1,NaN
siltyClay,COURSAN,2017_ALF_ALT_1,olfactory,paper,1,NaN
siltyClay,COURSAN,2017_ALF_ALT_2,olfactory,paper,1,1.00
siltyClay,COURSAN,2017_ALF_ALT_3,olfactory,paper,1,NaN
siltyClay,COURSAN,2017_ALF_ALT_4,olfactory,paper,1,NaN
siltyClay,COURSAN,2017_ALF_ALT_1,olfactory,pale,1,NaN
siltyClay,COURSAN,2017_ALF_ALT_2,olfactory,pale,1,NaN
siltyClay,COURSAN,2017_ALF_ALT_3,olfactory,pale,1,1.00
siltyClay,COURSAN,2017_ALF_ALT_4,olfactory,pale,1,NaN
