object,variable,unit,value,operator,date,file,method,hour
85-RUN-3161-22-4-N-R4B3,flowering,%,1,emmanuelle.zumstein,2016-05-30 00:00:00,\N,Observation,\N
85-RUN-3180-16-8-N-R5B1,flowering,%,0.1,emmanuelle.zumstein,2016-05-30 00:00:00,\N,Observation,\N
85-RUN-3294-57-N-R10B7,flowering,%,8,emmanuelle.zumstein,2016-05-30 00:00:00,\N,Observation,\N
85-RUN-3322-178-N-R10B3,flowering,%,0.1,emmanuelle.zumstein,2016-05-30 00:00:00,\N,Observation,\N
85-RUN-3322-226-N-R11B2,flowering,%,0,emmanuelle.zumstein,2016-05-30 00:00:00,\N,Observation,\N
85-RUN-3322-285-N-R11B3,flowering,%,0,emmanuelle.zumstein,2016-05-30 00:00:00,\N,Observation,\N
85-RUN-3322-339-N-R10B2,flowering,%,0,emmanuelle.zumstein,2016-05-30 00:00:00,\N,Observation,\N
85-RUN-3322-343-N-R11B4,flowering,%,0.1,emmanuelle.zumstein,2016-05-30 00:00:00,\N,Observation,\N
85-RUN-3328-168-N-R10B6,flowering,%,5,emmanuelle.zumstein,2016-05-30 00:00:00,\N,Observation,\N
85-RUN-3328-177-N-R10B4,flowering,%,0.1,emmanuelle.zumstein,2016-05-30 00:00:00,\N,Observation,\N
85-RUN-3328-306-N-R10B5,flowering,%,5,emmanuelle.zumstein,2016-05-30 00:00:00,\N,Observation,\N
85-RUN-3347-320-B-R12B3,flowering,%,0.1,emmanuelle.zumstein,2016-05-30 00:00:00,\N,Observation,\N
85-RUN-3347-330-B-R12B5,flowering,%,5,emmanuelle.zumstein,2016-05-30 00:00:00,\N,Observation,\N
85-RUN-3347-342-B-R13B2,flowering,%,0.1,emmanuelle.zumstein,2016-05-30 00:00:00,\N,Observation,\N
85-RUN-3347-364-B-R11B6,flowering,%,0.1,emmanuelle.zumstein,2016-05-30 00:00:00,\N,Observation,\N
85-RUN-3347-365-B-R11B5,flowering,%,0,emmanuelle.zumstein,2016-05-30 00:00:00,\N,Observation,\N
